,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_M,N_AS_Z,N_AS_allZ,N_FS_M,N_FS_Z,N_FS_allZ,T0M,T0Z,c_typeM,c_typeZ,c_typeallZ
0,62,298,61.0,12.96,144.78,7.7,3,8,14,0,0,0,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:21.000000,1,1,1
1,52,293,17.0,42.84,139.25,7.7,1,3,4,0,0,0,1993-07-12T13:17:11.039999Z,1993-07-12T13:17:10.000000,0,1,1
2,45,2260,12.0,-45.76,166.56,7.8,2,8,9,0,0,0,2009-07-15T09:22:27.840004Z,2009-07-15T09:22:26.000002,0,1,1
3,28,556,33.0,51.56,-177.63,7.9,6,11,36,3,2,2,1996-06-10T04:03:38.880000Z,1996-06-10T04:03:37.000003,1,1,1
4,34,511,22.0,44.62,149.32,7.9,9,16,40,4,6,6,1995-12-03T18:01:09.120003Z,1995-12-03T18:01:08.000003,1,1,1
5,58,409,33.0,40.45,143.49,7.7,10,21,41,0,0,0,1994-12-28T12:19:26.400000Z,1994-12-28T12:19:24.999996,1,1,1
6,11,1344,27.0,41.81,143.91,8.3,16,26,57,1,0,0,2003-09-25T19:50:09.599997Z,2003-09-25T19:50:07.999999,1,1,1
7,8,398,33.0,43.71,147.33,8.3,8,29,84,8,0,0,1994-10-04T13:22:56.639995Z,1994-10-04T13:22:55.000000,1,1,1
8,61,246,35.0,-8.51,121.89,7.7,2,4,8,1,0,0,1992-12-12T05:29:28.320003Z,1992-12-12T05:29:27.000001,1,1,1
9,59,1972,40.0,-22.25,-69.89,7.7,11,26,31,0,0,0,2007-11-14T15:40:53.759996Z,2007-11-14T15:40:52.000000,1,1,1
10,9,1765,38.0,46.57,153.29,8.3,11,28,66,8,10,10,2006-11-15T11:14:21.119996Z,2006-11-15T11:14:19.999998,2,2,2
11,39,365,39.0,-10.47,112.98,7.8,12,21,21,1,0,0,1994-06-02T18:17:34.080000Z,1994-06-02T18:17:32.999999,1,1,1
12,10,3229,22.0,-31.57,-71.67,8.3,25,39,64,2,1,1,2015-09-16T22:54:28.799999Z,2015-09-16T22:54:27.000002,1,1,1
13,21,1778,39.0,-13.39,-76.6,8.0,8,13,20,2,0,2,2007-08-15T23:40:59.519996Z,2007-08-15T23:40:58.000001,1,1,1
14,57,57,25.0,15.66,121.23,7.7,6,10,11,0,0,0,1990-07-16T07:26:32.640000Z,1990-07-16T07:26:30.999999,1,1,1
15,17,2992,25.0,-19.61,-70.77,8.1,11,33,58,9,20,20,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:44.000003,2,2,2
16,37,1368,33.0,51.15,178.65,7.8,2,6,17,1,0,0,2003-11-17T06:43:03.359997Z,2003-11-17T06:43:02.000003,1,1,1
17,6,1947,34.0,-4.44,101.37,8.5,23,40,110,0,0,0,2007-09-12T11:10:27.840000Z,2007-09-12T11:10:25.999998,1,1,1
18,13,529,33.0,-0.95,137.03,8.2,9,14,22,0,0,0,1996-02-17T05:59:25.439998Z,1996-02-17T05:59:24.000002,1,1,1
19,25,1231,4.0,63.52,-147.44,7.9,0,3,4,1,1,1,2002-11-03T22:12:43.200001Z,2002-11-03T22:12:41.999996,0,1,1
20,35,2534,30.0,36.13,140.23,7.9,0,53,95,0,0,0,2011-03-11T06:15:41.759999Z,2011-03-11T06:15:40.000002,0,1,1
21,53,826,33.0,-2.07,124.89,7.7,1,2,6,1,0,0,1998-11-29T14:10:27.840000Z,1998-11-29T14:10:26.000000,0,0,1
22,50,3306,21.0,0.35,-79.93,7.8,11,16,19,0,0,0,2016-04-16T23:58:33.600006Z,2016-04-16T23:58:32.000003,1,1,1
23,42,1130,10.0,35.95,90.54,7.8,1,5,5,0,0,0,2001-11-14T09:26:12.480004Z,2001-11-14T09:26:11.000003,0,1,1
24,32,518,33.0,0.72,119.98,7.9,4,6,23,1,0,0,1996-01-01T08:05:08.160000Z,1996-01-01T08:05:07.000000,1,1,1
25,1,2521,24.0,38.32,142.37,9.1,85,151,319,6,12,12,2011-03-11T05:46:19.199996Z,2011-03-11T05:46:18.000000,1,1,1
26,22,475,47.0,-23.36,-70.31,8.0,6,15,33,0,0,0,1995-07-30T05:11:19.680002Z,1995-07-30T05:11:18.000002,1,1,1
27,60,2175,17.0,-0.41,132.88,7.7,5,17,31,0,0,0,2009-01-03T19:43:49.439999Z,2009-01-03T19:43:47.999997,2,2,2
28,65,1739,34.0,-9.25,107.41,7.7,8,11,16,0,0,0,2006-07-17T08:19:32.160000Z,2006-07-17T08:19:31.000003,1,1,1
29,18,750,10.0,-62.88,149.53,8.1,3,5,7,0,0,0,1998-03-25T03:12:23.039995Z,1998-03-25T03:12:21.999997,1,1,1
30,49,1021,30.0,-5.23,153.1,7.8,0,31,94,0,4,4,2000-11-16T07:42:14.400000Z,2000-11-16T07:42:13.000000,0,2,2
31,20,1034,33.0,-3.98,152.17,8.0,36,19,44,1,0,0,2000-11-16T04:54:54.719996Z,2000-11-16T04:54:53.000003,3,1,1
32,63,611,33.0,-14.99,-75.68,7.7,5,8,12,1,0,0,1996-11-12T16:59:39.840004Z,1996-11-12T16:59:37.999998,1,1,1
33,23,497,49.0,19.15,-104.22,8.0,1,3,11,1,1,1,1995-10-09T15:36:00.000002Z,1995-10-09T15:36:00.000002,0,1,1
34,3,2378,44.0,-35.85,-72.71,8.8,36,89,206,0,0,0,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:15.000002,1,1,1
35,43,3288,24.0,-4.95,94.33,7.8,1,3,3,0,0,0,2016-03-02T12:49:49.440001Z,2016-03-02T12:49:47.999997,0,1,1
36,64,1048,60.0,13.05,-88.66,7.7,9,13,31,0,0,0,2001-01-13T17:33:30.240005Z,2001-01-13T17:33:28.999996,1,1,1
37,51,667,33.0,-12.58,166.68,7.7,4,1,3,2,0,0,1997-04-21T12:02:26.880002Z,1997-04-21T12:02:25.000002,1,0,1
38,44,2298,35.0,-12.52,166.38,7.8,17,20,28,3,0,0,2009-10-07T22:18:54.720004Z,2009-10-07T22:18:53.000002,3,1,1
39,16,2293,18.0,-15.49,-172.1,8.1,11,3,3,1,0,0,2009-09-29T17:48:11.519997Z,2009-09-29T17:48:09.999998,1,1,1
40,19,1863,10.0,-8.46,157.04,8.1,29,13,13,3,0,0,2007-04-01T20:39:59.039998Z,2007-04-01T20:39:58.000002,1,1,1
41,7,1094,33.0,-16.26,-73.64,8.4,7,24,63,0,0,0,2001-06-23T20:33:12.960004Z,2001-06-23T20:33:10.999998,1,1,1
42,27,988,10.0,-13.8,97.45,7.9,1,1,2,0,0,0,2000-06-18T14:44:09.600005Z,2000-06-18T14:44:07.999997,0,0,0
43,46,717,33.0,54.84,162.04,7.8,11,23,28,2,3,3,1997-12-05T11:26:52.800006Z,1997-12-05T11:26:51.000001,1,1,1
44,26,2820,24.0,-10.8,165.11,7.9,41,71,80,11,20,20,2013-02-06T01:12:25.920000Z,2013-02-06T01:12:23.999997,1,1,1
45,30,2064,19.0,31.0,103.32,7.9,7,13,20,0,0,0,2008-05-12T06:28:04.800005Z,2008-05-12T06:28:02.999998,1,1,1
46,55,453,33.0,-23.01,169.89,7.7,8,7,13,2,0,0,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:45.000001,1,1,1
47,47,2791,14.0,52.79,-132.1,7.8,5,13,13,0,0,0,2012-10-28T03:04:10.559997Z,2012-10-28T03:04:09.000003,1,1,1
48,4,2667,20.0,2.33,93.06,8.6,12,24,38,0,0,3,2012-04-11T08:38:32.640004Z,2012-04-11T08:38:31.000000,2,2,2
49,41,2939,10.0,-60.27,-46.4,7.8,0,1,4,4,5,5,2013-11-17T09:04:53.760004Z,2013-11-17T09:04:52.000000,1,1,1
50,31,3168,15.0,28.15,84.71,7.9,4,9,9,0,0,0,2015-04-25T06:11:22.559997Z,2015-04-25T06:11:20.999997,1,1,1
51,14,1510,10.0,-49.31,161.35,8.1,1,2,6,0,0,0,2004-12-23T14:59:08.159997Z,2004-12-23T14:59:07.000001,0,0,1
52,2,1513,10.0,3.3,95.78,9.0,71,76,317,0,0,0,2004-12-26T00:58:53.760002Z,2004-12-26T00:58:52.000003,1,1,2
53,40,2473,20.0,-3.49,100.08,7.8,2,7,20,0,0,0,2010-10-25T14:42:25.920000Z,2010-10-25T14:42:23.999998,0,1,1
54,29,982,33.0,-4.72,102.09,7.9,11,22,59,0,0,0,2000-06-04T16:28:24.960001Z,2000-06-04T16:28:22.999997,1,1,1
55,36,2924,15.0,26.97,65.52,7.8,2,4,12,0,0,0,2013-09-24T11:29:45.600004Z,2013-09-24T11:29:43.999997,0,1,1
56,24,1711,55.0,-20.19,-174.12,8.0,8,18,27,3,0,0,2006-05-03T15:26:38.400001Z,2006-05-03T15:26:36.999999,1,1,1
57,56,478,16.0,-5.81,154.21,7.7,10,17,24,2,0,0,1995-08-16T10:27:24.480003Z,1995-08-16T10:27:23.000001,1,1,1
